"fips","year","percent_transfers_no_ss"
"00000",2000,0.0318512695017096
"00000",2001,0.0318512695017096
"00000",2002,0.0345007237597103
"00000",2003,0.0345154959428434
"00000",2004,0.0323389253389819
"00000",2005,0.0328878399040358
"00000",2006,0.0307171920131819
"00000",2007,0.0313674888378834
"00000",2008,0.0421291041937683
"00000",2009,0.0491090302487523
"00000",2010,0.0555366989063542
"00000",2011,0.0507182693704274
"00000",2012,0.0428070156388777
"00000",2013,0.0412505997141689
"00000",2014,0.0393262693934649
"00000",2015,0.0391151550500731
"00000",2016,0.0391753223423471
"01000",2000,0.0408392353517752
"01000",2001,0.0408392353517752
"01000",2002,0.0424041674907663
"01000",2003,0.0418240798808158
"01000",2004,0.0393512558679615
"01000",2005,0.0410378624037206
"01000",2006,0.0384425051903969
"01000",2007,0.040893414517756
"01000",2008,0.0534274715377608
"01000",2009,0.0585857356727868
"01000",2010,0.0667876627845628
"01000",2011,0.0662236703625137
"01000",2012,0.0567359374736756
"01000",2013,0.0558922568668609
"01000",2014,0.0555277765894173
"01000",2015,0.05577855032262
"01000",2016,0.0564967048323359
"01001",2000,0.0359218148373459
"01001",2001,0.0359218148373459
"01001",2002,0.037626208041056
"01001",2003,0.0368557789107914
"01001",2004,0.034940780438209
"01001",2005,0.0391526638283102
"01001",2006,0.037776996499305
"01001",2007,0.039367174833056
"01001",2008,0.051117010647712
"01001",2009,0.0526578801548801
"01001",2010,0.0614908896514705
"01001",2011,0.0635743148241195
"01001",2012,0.0543585677573954
"01001",2013,0.0552868740265987
"01001",2014,0.0558446192410066
"01001",2015,0.0558362897845083
"01001",2016,0.0568061989379973
"01003",2000,0.0284346775907466
"01003",2001,0.0284346775907466
"01003",2002,0.0295797391600111
"01003",2003,0.0293566617927141
"01003",2004,0.0284613278535892
"01003",2005,0.0290000576648192
"01003",2006,0.0252135816740426
"01003",2007,0.0264786972096118
"01003",2008,0.0383172932907352
"01003",2009,0.0423104250994423
"01003",2010,0.0577200818295845
"01003",2011,0.0554122954774092
"01003",2012,0.0438092992861338
"01003",2013,0.0427467284693384
"01003",2014,0.0431905896383523
"01003",2015,0.0429384406175365
"01003",2016,0.0433694735340481
"01005",2000,0.0549516420740578
"01005",2001,0.0549516420740578
"01005",2002,0.0582228379180685
"01005",2003,0.0573584400592256
"01005",2004,0.0537179586463254
"01005",2005,0.0578783615483867
"01005",2006,0.0566192468862172
"01005",2007,0.0616621756979812
"01005",2008,0.0754224446753625
"01005",2009,0.0792314547503254
"01005",2010,0.0858550076172725
"01005",2011,0.0869239435007376
"01005",2012,0.0806848075645766
"01005",2013,0.0748014765107304
"01005",2014,0.0743953860926003
"01005",2015,0.0747138867775875
"01005",2016,0.0780183617182736
"01007",2000,0.0539602598556828
"01007",2001,0.0539602598556828
"01007",2002,0.0537361757582339
"01007",2003,0.0511028022277104
"01007",2004,0.0474601539034924
"01007",2005,0.0508636462043291
"01007",2006,0.0467357426329805
"01007",2007,0.0495187221165869
"01007",2008,0.0637896900600981
"01007",2009,0.0727517929586291
"01007",2010,0.0755612554278505
"01007",2011,0.0739325100930166
"01007",2012,0.0650380881620523
"01007",2013,0.064202088694987
"01007",2014,0.0634556562912877
"01007",2015,0.0635835945201132
"01007",2016,0.0660573194820396
"01009",2000,0.0346629113446939
"01009",2001,0.0346629113446939
"01009",2002,0.0374108584739828
"01009",2003,0.0356997604952777
"01009",2004,0.0328953512371562
"01009",2005,0.0357519933557312
"01009",2006,0.035394851935523
"01009",2007,0.0377760587764506
"01009",2008,0.0507658374345064
"01009",2009,0.0533303356130444
"01009",2010,0.0637191647279338
"01009",2011,0.0629567027987017
"01009",2012,0.0500960531679948
"01009",2013,0.0487192842064598
"01009",2014,0.0490017937622293
"01009",2015,0.0487706900323593
"01009",2016,0.0500952880477716
"01011",2000,0.0842104718703611
"01011",2001,0.0842104718703611
"01011",2002,0.0839391771198695
"01011",2003,0.0836454000217376
"01011",2004,0.084792899408284
"01011",2005,0.0833910833910834
"01011",2006,0.0776523847128611
"01011",2007,0.0847725472028956
"01011",2008,0.0964353448446526
"01011",2009,0.0968512527994181
"01011",2010,0.112094984204531
"01011",2011,0.114179040692479
"01011",2012,0.101309514004837
"01011",2013,0.0948446650556245
"01011",2014,0.0979897900031789
"01011",2015,0.10136673425913
"01011",2016,0.100263613386346
"01013",2000,0.0602021382407907
"01013",2001,0.0602021382407907
"01013",2002,0.0610382974263116
"01013",2003,0.0599946403212431
"01013",2004,0.058662935260779
"01013",2005,0.0588992717209805
"01013",2006,0.0588762593200675
"01013",2007,0.0611588439208013
"01013",2008,0.0790517716806838
"01013",2009,0.0906240914647602
"01013",2010,0.0913812361632255
"01013",2011,0.0930958224018157
"01013",2012,0.0801095729998745
"01013",2013,0.0753156284023447
"01013",2014,0.0758269338827496
"01013",2015,0.0756790681845303
"01013",2016,0.0777580541937086
"01015",2000,0.0509864584626775
"01015",2001,0.0509864584626775
"01015",2002,0.0524975565063698
"01015",2003,0.0518867392089579
"01015",2004,0.047535384247703
"01015",2005,0.0483939201691947
"01015",2006,0.0463203855010682
"01015",2007,0.0495349702966444
"01015",2008,0.0636076511190439
"01015",2009,0.0695899196911378
"01015",2010,0.0776227474958097
"01015",2011,0.0784407683487002
"01015",2012,0.0690147145789493
"01015",2013,0.0691104417428419
"01015",2014,0.0685282919319261
"01015",2015,0.0684250790662622
"01015",2016,0.0696566863270403
"01017",2000,0.0480573718518406
"01017",2001,0.0480573718518406
"01017",2002,0.0510528088365602
"01017",2003,0.0520927625928205
