"fips","year","race","less_12","college"
"01001",2000,0,0.172127455132779,0.2004521854166
"01001",2000,1,0.417498197129193,0.0766132156261568
"01001",2010,0,0.117708250468989,0.230374176313349
"01001",2010,1,0.279048794891919,0.141576469505278
"01001",2015,0,0.104865930699923,0.2537312823568
"01001",2015,1,0.211876885410432,0.160202093621215
"01003",2000,0,0.158804751612281,0.248033043547081
"01003",2000,1,0.379917117013689,0.0733901890498705
"01003",2005,0,0.118477696979836,0.285244471518444
"01003",2005,1,0.241473110655933,0.0734692374520992
"01003",2010,0,0.102349675533261,0.291205548338991
"01003",2010,1,0.235740540222129,0.0857336952910451
"01003",2015,0,0.0920407226750479,0.306936162383307
"01003",2015,1,0.207295209643166,0.132518439952762
"01005",2000,0,0.239583774009789,0.164909677702787
"01005",2000,1,0.50292649713559,0.0369640882429763
"01005",2010,0,0.186891044625964,0.20244248463873
"01005",2010,1,0.388581357385694,0.0501217347713084
"01005",2015,0,0.192821026546404,0.187738201176629
"01005",2015,1,0.335246744187077,0.0627489373540643
"01007",2000,0,0.324499686151612,0.0857854469848538
"01007",2000,1,0.529612369091158,0.013477198307942
"01007",2010,0,0.240131112170097,0.106976812815271
"01007",2010,1,0.33626830456672,0.0611460534741428
"01007",2015,0,0.161194217258,0.114887784320385
"01007",2015,1,0.303769550442536,0.0767446197763384
"01009",2000,0,0.287974314648381,0.0967157442030278
"01009",2000,1,0.364869871192184,0.0248422804114805
"01009",2010,0,0.224382561127247,0.127708231699279
"01009",2010,1,0.194298660852462,0.247126198626035
"01009",2015,0,0.212216650777229,0.129537872966935
"01009",2015,1,0.209657039538143,0.0717020590451481
"01011",2000,0,0.313686101916867,0.14436814283646
"01011",2000,1,0.438720565924438,0.0432808833842264
"01011",2010,0,0.0905802599990088,0.213742550470064
"01011",2010,1,0.328022986524706,0.0584992209024777
"01011",2015,0,0.232392031192066,0.252188015017684
"01011",2015,1,0.410781902940281,0.0870148363147117
"01013",2000,0,0.25585961209706,0.132763396364289
"01013",2000,1,0.447254812069793,0.0469308191547923
"01013",2010,0,0.189982457455257,0.136637730932636
"01013",2010,1,0.353549252137799,0.0596451920296221
"01013",2015,0,0.169540957051145,0.187833084600181
"01013",2015,1,0.302918180581663,0.0779765812096928
"01015",2000,0,0.250665903117103,0.163830076914123
"01015",2000,1,0.307651075339893,0.0890351752773744
"01015",2005,0,0.209876599454109,0.204190614953897
"01015",2005,1,0.182260232191655,0.103038108265271
"01015",2010,0,0.203635872008641,0.166441533202774
