"fips","year","race","fb"
"01001","1990",0,0.00893615449946457
"01003","1990",0,0.00955072256402919
"01005","1990",0,0.00199274073019714
"01007","1990",0,0.00137846530862307
"01009","1990",0,0.002122085407388
"01011","1990",0,0.00795228628230616
"01013","1990",0,0.00309119010819165
"01015","1990",0,0.00760183747271483
"01017","1990",0,0.00328050443081118
"01019","1990",0,0.00115798180314309
"01021","1990",0,0.00408376963350785
"01023","1990",0,0.000789088039679856
"01025","1990",0,0.00441558441558442
"01027","1990",0,0.00172398148988295
"01029","1990",0,0.000994942376254042
"01031","1990",0,0.0144331808629002
"01033","1990",0,0.00124337258949937
"01035","1990",0,0.000742574257425743
"01037","1990",0,0.00317372705947289
"01039","1990",0,0.00314945600305402
"01041","1990",0,0.00488485694347523
"01043","1990",0,0.002160475304567
"01045","1990",0,0.0196428109896358
"01047","1990",0,0.003181547027242
"01049","1990",0,0.00147867298578199
"01051","1990",0,0.00740168801086291
"01053","1990",0,0.00148717313173875
"01055","1990",0,0.0033127416768839
"01057","1990",0,0.00102564102564103
"01059","1990",0,0.00102567998784379
"01061","1990",0,0.00253189210244425
"01063","1990",0,0.00355871886120996
"01065","1990",0,0.00112251443232842
"01067","1990",0,0.00615477751992735
"01069","1990",0,0.0060355626413314
"01071","1990",0,0.00217224057564375
"01073","1990",0,0.00898605827118717
"01075","1990",0,0.00152749490835031
"01077","1990",0,0.00317246413431034
"01079","1990",0,0.00109840934054758
"01081","1990",0,0.010395525740933
"01083","1990",0,0.00429608626541221
"01085","1990",0,0.00815814245371823
"01087","1990",0,0.00853443201883461
"01089","1990",0,0.0178011043682685
"01091","1990",0,0.00558164259767875
"01093","1990",0,0.00107987598843488
"01095","1990",0,0.00335895988069901
"01097","1990",0,0.0104977719985411
"01099","1990",0,0.00266985175296845
"01101","1990",0,0.011146738671842
"01103","1990",0,0.00480088147331969
"01105","1990",0,0.0129957427739189
"01107","1990",0,0.000837100284614097
"01109","1990",0,0.00333578334369876
"01111","1990",0,0.00105946232287114
"01113","1990",0,0.0154498850981085
"01115","1990",0,0.0026807869549805
"01117","1990",0,0.00705598263142737
"01119","1990",0,0.00168740771989032
"01121","1990",0,0.0039040164047558
"01123","1990",0,0.00334565944708575
"01125","1990",0,0.00830715404412775
"01127","1990",0,0.00166796397197821
"01129","1990",0,0.00237161360941348
"01131","1990",0,0.00095488183337312
"01133","1990",0,0.00229126569517001
"02013","1990",0,0.0839506172839506
"02016","1990",0,0.0167185707261105
"02020","1990",0,0.0279205351576322
"02050","1990",0,0.027988614800759
"02060","1990",0,0.00917431192660551
"02070","1990",0,0.0106075216972035
"02090","1990",0,0.0201879512671502
"02100","1990",0,0.0212171970965941
"02110","1990",0,0.0220626202882223
"02122","1990",0,0.0239846848078764
"02130","1990",0,0.0229157378510923
"02150","1990",0,0.0181638044914135
"02164","1990",0,0.0380434782608696
"02170","1990",0,0.0148782563342392
"02180","1990",0,0.0193920335429769
"02185","1990",0,0.024174053182917
"02188","1990",0,0.0126262626262626
"02220","1990",0,0.0231333758774729
"02240","1990",0,0.0154079861111111
"02261","1990",0,0.0140007434023045
"02270","1990",0,0.0480225988700565
"02290","1990",0,0.0181766543595569
"04001","1990",0,0.00488272735199233
"04003","1990",0,0.0285349371099686
"04005","1990",0,0.0172642994577576
"04007","1990",0,0.0196614868315459
"04009","1990",0,0.0100454283703372
"04011","1990",0,0.00544094309680345
"04012","1990",0,0.0320990622745852
"04013","1990",0,0.0295433124212904
"04015","1990",0,0.0266531948993102
"04017","1990",0,0.00943880827019391
"04019","1990",0,0.0333596128156275
"04021","1990",0,0.017119132201804
"04023","1990",0,0.0522040018053257
"04025","1990",0,0.0217261088945065
"04027","1990",0,0.0195468368225843
"05001","1990",0,0.00112752952347042
"05003","1990",0,0.00323139065204847
"05005","1990",0,0.0175929238073559
"05007","1990",0,0.00595928531142587
"05009","1990",0,0.00197125551055518
"05011","1990",0,0.00175087543771886
"05013","1990",0,0.00343092406221409
"05015","1990",0,0.0058485925116152
"05017","1990",0,0.00239700374531835
"05019","1990",0,0.00712749615975422
"05021","1990",0,0.00138842608019549
"05023","1990",0,0.00687106345322992
"05025","1990",0,0.0030188679245283
"05027","1990",0,0.00211890059329217
"05029","1990",0,0.0031057829678862
"05031","1990",0,0.00370480373919432
"05033","1990",0,0.003116411464468
"05035","1990",0,0.00601051840721262
"05037","1990",0,0.00294220665499124
"05039","1990",0,0
"05041","1990",0,0.00199831720656289
"05043","1990",0,0.00225261464199517
"05045","1990",0,0.00394317407086658
"05047","1990",0,0.00308684318836603
"05049","1990",0,0.00222177337911533
"05051","1990",0,0.0164787118562296
"05053","1990",0,0.00327478416195296
"05055","1990",0,0.00221687357486699
"05057","1990",0,0.00544847783150582
"05059","1990",0,0.00396203413444793
"05061","1990",0,0.00218278447375913
"05063","1990",0,0.00102188818565401
"05065","1990",0,0.00643201715204574
"05067","1990",0,0.00217445328031809
"05069","1990",0,0.00564640930193651
"05071","1990",0,0.00366783196744799
"05073","1990",0,0.00273224043715847
"05075","1990",0,0.00133985785855761
"05077","1990",0,0.00111752654125535
"05079","1990",0,0.000695168578380257
"05081","1990",0,0.00335633041208279
"05083","1990",0,0.0045110520775901
"05085","1990",0,0.0068557182923029
"05087","1990",0,0.00395152792413066
"05089","1990",0,0.0109556716669476
"05091","1990",0,0.00264223457552673
"05093","1990",0,0.00381546999653139
"05095","1990",0,0.00102055693249745
"05097","1990",0,0.0058693100299987
"05099","1990",0,0.00160303118624308
"05101","1990",0,0.00434267666798263
"05103","1990",0,0.00372981810750051
"05105","1990",0,0.00208469055374593
"05107","1990",0,0.00436545057686311
"05109","1990",0,0.00395668471470221
"05111","1990",0,0.00172269093157825
"05113","1990",0,0.00344889100315157
"05115","1990",0,0.00382766398578296
"05117","1990",0,0.00134770889487871
"05119","1990",0,0.0120813201130201
"05121","1990",0,0.00159499417213668
"05123","1990",0,0.00246507806080526
"05125","1990",0,0.00338050950262839
"05127","1990",0,0.00269919024292712
"05129","1990",0,0.00387296669248644
"05131","1990",0,0.0060833740026558
"05133","1990",0,0.00166389351081531
"05135","1990",0,0.00705086696884668
"05137","1990",0,0.00363032880406597
"05139","1990",0,0.00384365022782927
"05141","1990",0,0.00745782347404243
"05143","1990",0,0.00613297704540815
"05145","1990",0,0.00195537152058891
"05147","1990",0,0.00437141995779319
"05149","1990",0,0.00489040773037945
"06001","1990",0,0.0707074846259443
"06003","1990",0,0.0151706700379267
"06005","1990",0,0.0233851698068863
"06007","1990",0,0.023482784558884
"06009","1990",0,0.0249616890856462
"06011","1990",0,0.0110519044799684
"06013","1990",0,0.0558186473436843
"06015","1990",0,0.0289382071366406
"06017","1990",0,0.0307807345502529
"06019","1990",0,0.0358050642485862
"06021","1990",0,0.0132432432432432
"06023","1990",0,0.0248156686417589
"06025","1990",0,0.020396051974013
"06027","1990",0,0.0231194392019412
"06029","1990",0,0.0192959392345895
"06031","1990",0,0.0333016696503599
"06033","1990",0,0.0278899658948124
"06035","1990",0,0.0114277909306137
"06037","1990",0,0.123121383148422
"06039","1990",0,0.0282218719507618
"06041","1990",0,0.0841328451026921
"06043","1990",0,0.0196216385240775
"06045","1990",0,0.023013658393303
"06047","1990",0,0.0502647683019801
"06049","1990",0,0.0175746924428823
"06051","1990",0,0.0351276825320705
"06053","1990",0,0.0630675575983059
"06055","1990",0,0.0396759960780818
"06057","1990",0,0.0296901600272387
"06059","1990",0,0.0664883989021513
"06061","1990",0,0.0283707442247141
"06063","1990",0,0.0185658699277376
"06065","1990",0,0.043983904110945
"06067","1990",0,0.0375650893958929
"06069","1990",0,0.0336378518244706
"06071","1990",0,0.0381392874900269
"06073","1990",0,0.0542246370846025
"06075","1990",0,0.134858977271721
"06077","1990",0,0.0333811246578576
"06079","1990",0,0.0310418031120847
"06081","1990",0,0.0979088128600896
"06083","1990",0,0.0605368174510556
"06085","1990",0,0.0819385709578207
"06087","1990",0,0.0457841694822603
"06089","1990",0,0.0151753437930906
"06091","1990",0,0.0182648401826484
"06093","1990",0,0.0201468551569155
"06095","1990",0,0.0348761157279163
"06097","1990",0,0.0435014150512766
"06099","1990",0,0.0489485700781759
"06101","1990",0,0.0229998923226015
"06103","1990",0,0.0186250087304728
