"fips","manufacturing","total_persons","year"
"05119",218752,1904559,1990
"05121",18025,47300,1990
"05123",13278,73475,1990
"05125",44878,257586,1990
"05127",9750,30556,1990
"05129",6661,20214,1990
"05131",146430,517320,1990
"05133",13698,44169,1990
"05135",5764,32315,1990
"05137",6967,27522,1990
"05139",35721,140627,1990
"05141",6467,34567,1990
"05143",123673,595460,1990
"05145",39801,170502,1990
"05147",7543,25749,1990
"05149",19213,56233,1990
"06NA",12793285,73783681,1990
"06001",598220,3796620,1990
"06003",21,526,1990
"06005",1750,14509,1990
"06007",26487,273054,1990
"06009",1614,15717,1990
"06011",539,10301,1990
"06013",274785,2370386,1990
"06015",1178,11359,1990
"06017",12976,145963,1990
"06019",120700,1283732,1990
"06021",2337,14930,1990
"06023",12993,88086,1990
"06025",4090,66229,1990
"06027",490,13685,1990
"06029",65204,930223,1990
"06031",6049,57146,1990
"06033",1604,26596,1990
"06035",1063,12458,1990
"06037",10289683,50173343,1990
"06039",7243,53592,1990
"06041",53506,708905,1990
"06043",478,6660,1990
"06045",8022,47427,1990
"06047",32791,244684,1990
"06049",378,4811,1990
"06051",277,8769,1990
"06053",61042,730359,1990
"06055",34602,250491,1990
"06057",5391,45697,1990
"06059",1650024,7698456,1990
"06061",36043,323192,1990
"06063",1676,11683,1990
"06065",367745,2465523,1990
"06067",216691,2777209,1990
"06069",5127,26641,1990
"06071",504590,3219001,1990
"06073",915720,6616876,1990
"06075",214488,2319180,1990
"06077",129194,919800,1990
"06079",18314,240931,1990
"06081",259540,2087108,1990
"06083",117738,914295,1990
"06085",1498321,4708422,1990
"06087",101927,636951,1990
"06089",25161,243942,1990
"06091",243,1723,1990
"06093",3448,24727,1990
"06095",108812,847909,1990
"06097",103884,812999,1990
"06099",126291,690004,1990
"06101",12143,124288,1990
"06103",4986,25187,1990
"06105",1165,7031,1990
"06107",49343,422236,1990
"06109",3006,27679,1990
"06111",315881,1858020,1990
"06113",21642,303106,1990
"06115",8822,82767,1990
"06NA",12793285,73783681,1990
"06001",598220,3796620,1990
"06003",21,526,1990
"06005",1750,14509,1990
"06007",26487,273054,1990
"06009",1614,15717,1990
"06011",539,10301,1990
"06013",274785,2370386,1990
"06015",1178,11359,1990
"06017",12976,145963,1990
"06019",120700,1283732,1990
"06021",2337,14930,1990
"06023",12993,88086,1990
"06025",4090,66229,1990
"06027",490,13685,1990
"06029",65204,930223,1990
"06031",6049,57146,1990
"06033",1604,26596,1990
"06035",1063,12458,1990
"06037",5121661,24950591,1990
"06039",7243,53592,1990
"06041",53506,708905,1990
"06043",478,6660,1990
"06045",8022,47427,1990
"06047",32791,244684,1990
"06049",378,4811,1990
"06051",277,8769,1990
"06053",61042,730359,1990
"06055",34602,250491,1990
"06057",5391,45697,1990
"06059",3311490,15453288,1990
"06061",36043,323192,1990
"06063",1676,11683,1990
"06065",798125,5395065,1990
"06067",216691,2777209,1990
"06069",5127,26641,1990
"06071",1041902,6767227,1990
"06073",1862022,13488472,1990
"06075",214488,2319180,1990
"06077",129194,919800,1990
"06079",18314,240931,1990
"06081",259540,2087108,1990
"06083",117738,914295,1990
"06085",1498321,4708422,1990
"06087",101927,636951,1990
"06089",25161,243942,1990
"06091",243,1723,1990
"06093",3448,24727,1990
"06095",108812,847909,1990
"06097",103884,812999,1990
"06099",126291,690004,1990
"06101",12143,124288,1990
"06103",4986,25187,1990
"06105",1165,7031,1990
"06107",49343,422236,1990
"06109",3006,27679,1990
"06111",652565,3878652,1990
"06113",21642,303106,1990
"06115",8822,82767,1990
"06NA",12793285,73783681,1990
"06001",1199300,7611660,1990
"06003",21,526,1990
"06005",1750,14509,1990
"06007",26487,273054,1990
"06009",1614,15717,1990
"06011",539,10301,1990
"06013",557121,4809428,1990
"06015",1178,11359,1990
"06017",12976,145963,1990
"06019",120700,1283732,1990
"06021",2337,14930,1990
"06023",12993,88086,1990
"06025",4090,66229,1990
"06027",490,13685,1990
"06029",65204,930223,1990
"06031",6049,57146,1990
"06033",1604,26596,1990
"06035",1063,12458,1990
"06037",5121661,24950591,1990
"06039",7243,53592,1990
"06041",110650,1464221,1990
"06043",478,6660,1990
"06045",8022,47427,1990
"06047",32791,244684,1990
"06049",378,4811,1990
"06051",277,8769,1990
"06053",134926,1611669,1990
"06055",78054,565689,1990
"06057",5391,45697,1990
"06059",1650024,7698456,1990
"06061",36043,323192,1990
"06063",1676,11683,1990
"06065",367745,2465523,1990
"06067",216691,2777209,1990
"06069",5127,26641,1990
"06071",504590,3219001,1990
"06073",915720,6616876,1990
"06075",428976,4638360,1990
"06077",129194,919800,1990
"06079",18314,240931,1990
"06081",524074,4204892,1990
"06083",117738,914295,1990
"06085",3026437,9549924,1990
"06087",215603,1344375,1990
"06089",25161,243942,1990
"06091",243,1723,1990
"06093",3448,24727,1990
"06095",223886,1755769,1990
"06097",250068,1972775,1990
"06099",126291,690004,1990
"06101",12143,124288,1990
"06103",4986,25187,1990
"06105",1165,7031,1990
"06107",49343,422236,1990
"06109",3006,27679,1990
"06111",315881,1858020,1990
"06113",21642,303106,1990
"06115",8822,82767,1990
"06NA",12793285,73783681,1990
"06001",598220,3796620,1990
"06003",147,3610,1990
"06005",9514,78247,1990
"06007",69207,698334,1990
"06009",9534,88401,1990
"06011",2729,50219,1990
"06013",274785,2370386,1990
"06015",6212,58507,1990
"06017",44980,499321,1990
"06019",274024,2902688,1990
"06021",11307,74306,1990
"06023",58977,393072,1990
"06025",17590,284701,1990
"06027",2134,60485,1990
"06029",159194,2218231,1990
"06031",26167,255368,1990
"06033",8066,129454,1990
"06035",5419,65516,1990
"06037",4998104,24335350,1990
"06039",32857,253170,1990
"06041",53506,708905,1990
"06043",3070,42108,1990
"06045",42228,257325,1990
"06047",84721,641380,1990
"06049",2016,26021,1990
"06051",1345,42621,1990
"06053",61042,730359,1990
"06055",34602,250491,1990
"06057",29493,244957,1990
"06059",1650024,7698456,1990
"06061",89587,820712,1990
"06063",8048,58381,1990
"06065",367745,2465523,1990
"06067",444613,5687587,1990
"06069",23961,127441,1990
"06071",504590,3219001,1990
"06073",915720,6616876,1990
"06075",214488,2319180,1990
"06077",297254,2093250,1990
"06079",65588,825433,1990
"06081",259540,2087108,1990
"06083",258828,1995597,1990
"06085",1498321,4708422,1990
"06087",101927,636951,1990
"06089",63789,595410,1990
"06091",1329,9721,1990
"06093",17080,123757,1990
"06095",108812,847909,1990
"06097",103884,812999,1990
"06099",291201,1596064,1990
"06101",27305,282442,1990
"06103",24960,132575,1990
"06105",5533,34313,1990
"06107",131969,1136020,1990
"06109",14502,133285,1990
"06111",315881,1858020,1990
"06113",52956,700666,1990
"06115",20588,192741,1990
"60379",1235570,6152410,1990
"08NA",1009280,7639687,1990
"08001",249717,1537474,1990
"08003",1087,46325,1990
"08005",261585,2476707,1990
"08007",1080,16239,1990
"08009",334,14432,1990
"08011",430,12929,1990
"08013",240110,1376170,1990
"08015",2166,37374,1990
"08017",72,8520,1990
"08019",2286,31955,1990
"08021",1834,19920,1990
"08023",441,7716,1990
"08025",407,8037,1990
"08027",256,5660,1990
"08029",4071,55215,1990
"08031",280956,2803155,1990
"08033",21,4551,1990
"08035",44963,312631,1990
"08037",3753,105391,1990
"08039",4762,36306,1990
"08041",310912,2004100,1990
"08043",8540,86348,1990
"08045",5389,116157,1990
"08047",1913,11868,1990
"08049",1764,35005,1990
"08051",1521,41597,1990
"08053",156,2050,1990
"08055",1002,15887,1990
"08057",698,6095,1990
"08059",389911,2756730,1990
"08061",106,5593,1990
"08063",832,25512,1990
"08065",586,23419,1990
"08067",5458,118921,1990
"08069",183164,974022,1990
"08071",1308,38484,1990
"08073",317,16123,1990
"08075",4972,64936,1990
"08077",39556,409617,1990
"08079",128,1897,1990
"08081",1648,41315,1990
"08083",2854,57792,1990
"08085",6730,78020,1990
"08087",8964,75158,1990
"08089",4445,58726,1990
"08091",543,7954,1990
"08093",2281,25444,1990
"08095",555,13976,1990
"08097",2526,64671,1990
"08099",4523,45534,1990
"08101",69612,537583,1990
"08103",560,21817,1990
"08105",1917,32428,1990
"08107",2284,64540,1990
"08109",604,14255,1990
"08111",136,2813,1990
"08113",748,17128,1990
"08115",286,9621,1990
"08117",1872,65738,1990
"08119",6944,46692,1990
"08121",556,16040,1990
"08123",105104,653433,1990
"08125",868,30253,1990
"35NA",206563,2349070,1990
"35001",263917,2687173,1990
"35003",812,6438,1990
"35005",28035,178507,1990
"35006",5166,59226,1990
"35007",2193,39838,1990
"35009",10028,119753,1990
"35011",181,6411,1990
"35013",54248,565756,1990
"35015",10326,144878,1990
"35017",3190,75937,1990
"35019",326,11462,1990
"35021",147,2986,1990
"35023",2811,18028,1990
"35025",8949,165603,1990
"35027",1221,39550,1990
"35028",2136,89230,1990
"35029",2289,41147,1990
"35031",13303,159145,1990
"35033",490,8003,1990
"35035",10487,139799,1990
"35037",1307,33613,1990
"35039",4765,100036,1990
"35041",2637,52436,1990
"35043",40285,266325,1990
"35045",10939,253719,1990
"35047",2899,70003,1990
"35049",30400,534456,1990
"35051",880,22949,1990
"35053",2461,45176,1990
"35055",4845,70285,1990
"35057",2205,28915,1990
"35059",329,12750,1990
"35061",11962,137844,1990
"09NA",1595804,7725106,1990
"09001",986807,4778580,1990
"09003",905491,4829586,1990
"09005",195615,797962,1990
"09007",149021,751516,1990
"09009",964832,4550416,1990
"09011",266351,1205823,1990
"09013",114954,606005,1990
"09015",92860,374636,1990
"23NA",244106,1371679,1990
"23001",134037,531119,1990
"23003",43695,257775,1990
"23005",155106,1220116,1990
"23007",26291,96955,1990
"23009",19182,152395,1990
"23011",72199,423418,1990
"23013",19026,119660,1990
"23015",18499,98209,1990
"23017",42722,165106,1990
"23019",98100,640408,1990
"23021",17658,56714,1990
"23023",33692,118522,1990
"23025",47455,159979,1990
"23027",20240,104551,1990
"23029",16513,96828,1990
"23031",169130,654857,1990
"44NA",566988,2389787,1990
"44001",65840,281012,1990
"44003",203466,931920,1990
"44005",50291,402929,1990
"44007",823658,3244119,1990
"44009",85740,476393,1990
"50NA",78868,549480,1990
"50001",20807,123424,1990
"50003",22893,125785,1990
"50005",16581,94893,1990
"50007",94086,744362,1990
"50009",5541,17710,1990
"50011",28651,141045,1990
"50013",2526,19551,1990
"50015",8510,70430,1990
"50017",13615,91600,1990
"50019",15676,77988,1990
"50021",39351,228668,1990
"50023",24013,203686,1990
"50025",22978,154930,1990
"50027",33213,196357,1990
"11NA",78186,1823964,1990
"11001",156372,3647928,1990
"10NA",233115,1244054,1990
"10001",74802,454516,1990
"10003",475302,2452848,1990
"10005",66011,382199,1990
"24NA",960030,9466439,1990
"24001",43904,311396,1990
"24003",272483,2564393,1990
"24005",563575,4243833,1990
"24009",12615,220737,1990
"24011",19979,96559,1990
"24013",83582,551145,1990
"24015",62147,307989,1990
"24017",33443,455412,1990
"24019",30910,107126,1990
"24021",92753,787633,1990
"24023",14852,84759,1990
"24025",137626,953875,1990
"24027",125856,1251652,1990
"24029",8948,64847,1990
"24031",289512,5045920,1990
"24033",270090,4833798,1990
"24035",15301,145989,1990
"24037",14763,262161,1990
"24039",10047,65030,1990
"24041",17064,116893,1990
"24043",103262,576494,1990
"24045",42797,274720,1990
"24047",13132,130850,1990
"24510",463224,3776256,1990
"12NA",2635282,24998101,1990
"12001",48669,889160,1990
"12003",5993,51588,1990
"12005",49817,592906,1990
"12007",6510,68575,1990
"12009",417711,2109749,1990
"12011",676973,7101874,1990
"12013",4080,28109,1990
"12015",20847,372409,1990
"12017",14595,219344,1990
"12019",43193,502504,1990
"12021",35732,724248,1990
"12023",17341,128404,1990
"12025",1206932,10584590,1990
"12027",3347,65713,1990
"12029",4094,24157,1990
"12031",372477,4077737,1990
"12033",122696,1228518,1990
"12035",9388,80818,1990
"12037",1501,25224,1990
"12039",14062,135620,1990
"12041",2437,25638,1990
"12043",2335,20946,1990
"12045",7367,33985,1990
"12047",6893,27816,1990
"12049",4010,56881,1990
"12051",10014,82278,1990
"12053",27036,307320,1990
"12055",9626,162633,1990
"12057",464188,4625511,1990
"12059",8087,44177,1990
"12061",29268,348827,1990
"12063",16209,120318,1990
"12065",2639,34147,1990
"12067",1896,15234,1990
"12069",44960,437359,1990
"12071",97276,1559650,1990
"12073",20218,504853,1990
"12075",974,12481,1990
"12077",396,2432,1990
"12079",1651,7602,1990
"12081",59024,435698,1990
"12083",34976,245871,1990
"12085",19145,192010,1990
"12087",3230,72938,1990
"12089",8870,50729,1990
"12091",24687,292793,1990
"12093",917,16036,1990
"12095",172685,1760623,1990
"12097",15030,215527,1990
"12099",188322,1988548,1990
"12101",31321,387609,1990
"12103",278368,2153840,1990
"12105",101169,734300,1990
"12107",5323,28739,1990
"12109",11614,123983,1990
"12111",27727,335059,1990
"12113",13602,111410,1990
"12115",51132,619771,1990
"12117",93134,785025,1990
"12119",1429,14347,1990
"12121",1558,12930,1990
"12123",2720,9699,1990
"12125",608,4263,1990
"12127",81068,779759,1990
"12129",528,7282,1990
"12131",1524,15468,1990
"12133",1182,8520,1990
"12NA",2635282,24998101,1990
"12001",19509,374450,1990
"12003",1007,8808,1990
"12005",22889,273574,1990
"12007",1776,19069,1990
"12009",199713,1007597,1990
"12011",334409,3507160,1990
"12013",696,4919,1990
"12015",7755,141601,1990
"12017",2631,39920,1990
"12019",17297,210898,1990
"12021",15680,313554,1990
"12023",2995,22990,1990
"12025",592700,5173622,1990
"12027",695,13093,1990
"12029",710,4147,1990
"12031",199947,2191145,1990
"12033",56024,577782,1990
"12035",2026,17566,1990
"12037",307,5280,1990
"12039",3964,38330,1990
"12041",409,4206,1990
"12043",451,4008,1990
"12045",1457,6799,1990
"12047",1223,4974,1990
"12049",782,10243,1990
"12051",2094,16452,1990
"12053",9990,118008,1990
"12055",1784,29361,1990
"12057",214048,2152383,1990
"12059",1271,7499,1990
"12061",11610,137537,1990
"12063",2877,21786,1990
"12065",431,5743,1990
"12067",336,2508,1990
"12069",9122,89569,1990
"12071",43312,692860,1990
"12073",46558,1123417,1990
"12075",5156,70375,1990
"12077",2376,14576,1990
"12079",9745,44346,1990
"12081",130190,961184,1990
"12083",99740,695619,1990
"12085",44219,439198,1990
"12087",13694,306338,1990
"12089",30128,171551,1990
"12091",55911,644117,1990
"12093",5339,88558,1990
"12095",380663,3866341,1990
"12097",38082,530257,1990
"12099",410268,4312192,1990
"12101",81751,973701,1990
"12103",575566,4447220,1990
"12105",242613,1764362,1990
"12107",31273,169037,1990
"12109",34534,359489,1990
"12111",57781,702487,1990
"12113",41454,320606,1990
"12115",106974,1305073,1990
"12117",201218,1693287,1990
"12119",7801,80833,1990
"12121",9142,75504,1990
"12123",14456,50799,1990
"12125",3446,24255,1990
"12127",181862,1712933,1990
"12129",3576,49288,1990
"12131",8538,84456,1990
"12133",6732,47022,1990
"13NA",1459202,9210368,1990
"13001",12873,47326,1990
"13003",6774,18718,1990
"13005",9109,30281,1990
"13007",2945,10772,1990
"13009",23226,118732,1990
"13011",11079,36277,1990
"13013",30592,116981,1990
"13015",64275,201849,1990
"13017",16948,50025,1990
"13019",16368,48024,1990
"13021",104082,722120,1990
"13023",8604,34296,1990
"13025",6365,32117,1990
"13027",11243,45450,1990
"13029",8438,48097,1990
"13031",24878,139325,1990
"13033",15296,58013,1990
"13035",15400,50969,1990
"13037",3808,14755,1990
"13039",13633,81235,1990
"13043",5394,24362,1990
"13045",72313,251918,1990
"13047",56235,194447,1990
"13049",6296,24957,1990
"13051",144372,1086233,1990
"13053",1500,21573,1990
"13055",37121,72057,1990
"13057",67548,431749,1990
"13059",51981,445427,1990
"13061",1624,9125,1990
"13063",113620,1010222,1990
"13065",4710,17937,1990
"13067",341506,2662100,1990
"13069",27868,97728,1990
"13071",28403,117029,1990
"13073",54741,350065,1990
"13075",13940,45134,1990
"13077",52459,212073,1990
"13079",8811,29101,1990
"13081",13313,60367,1990
"13083",13136,48167,1990
"13085",6869,33223,1990
"13087",20956,77482,1990
"13089",342314,3307288,1990
"13091",14838,52115,1990
"13093",5484,27762,1990
"13095",73134,439967,1990
"13097",59470,378131,1990
"13099",9423,35651,1990
"13101",1820,6881,1990
"13103",24646,94240,1990
"13105",20500,59747,1990
"13107",18514,61699,1990
"13109",6027,27125,1990
"13111",14489,46253,1990
"13113",27962,269355,1990
"13115",89567,346520,1990
"13117",38953,187300,1990
"13119",19757,56382,1990
"13121",373487,3718030,1990
"13123",14668,43065,1990
"13125",2986,7649,1990
"13127",40405,292131,1990
"13129",58387,126243,1990
"13131",17777,65687,1990
"13133",13846,36194,1990
"13135",305649,2051282,1990
"13137",32632,97658,1990
"13139",101382,356085,1990
"13141",7236,24595,1990
"13143",26454,72190,1990
"13145",14066,59102,1990
"13147",29273,66649,1990
"13149",9540,26542,1990
"13151",31478,256877,1990
"13153",56320,428759,1990
"13155",6316,26375,1990
"13157",32164,118923,1990
"13159",9123,26710,1990
"13161",15246,40529,1990
"13163",18382,50649,1990
"13165",7366,24801,1990
"13167",8993,25515,1990
"13169",17879,86134,1990
"13171",14756,42977,1990
"13173",5304,17723,1990
"13175",37091,130998,1990
"13177",11042,63396,1990
"13179",10882,100099,1990
"13181",7975,22703,1990
"13183",2499,16599,1990
"13185",43380,244751,1990
"13187",12782,49141,1990
"13189",17942,73955,1990
"13191",5943,25458,1990
"13193",9222,39224,1990
"13195",22326,84476,1990
"13197",4250,14988,1990
"13199",22688,64625,1990
"13201",4724,18858,1990
"13205",16096,61535,1990
"13207",11096,56476,1990
"13209",5378,23358,1990
"13211",12317,42936,1990
"13213",50385,94341,1990
"13215",161033,930108,1990
"13217",45313,158897,1990
"13219",10439,74180,1990
"13221",9330,33717,1990
"13223",34102,167727,1990
"13225",14044,74805,1990
"13227",13477,50036,1990
"13229",8833,42781,1990
"13231",8787,32966,1990
"13233",40365,105454,1990
"13235",4933,24630,1990
"13237",13361,47922,1990
"13239",1821,6023,1990
"13241",9910,39632,1990
"13243",5955,21324,1990
"13245",132553,901065,1990
"13247",44994,258331,1990
"13249",3443,11180,1990
"13251",13267,40850,1990
"13253",6978,28269,1990
"13255",59029,211768,1990
"13257",29268,81640,1990
"13259",4505,15303,1990
"13261",22831,93510,1990
"13263",6631,19775,1990
"13265",1930,5305,1990
"13267",8553,49027,1990
"13269",6737,21560,1990
"13271",11629,33401,1990
"13273",8179,31393,1990
"13275",28736,129114,1990
"13277",24075,120760,1990
"13279",14822,76848,1990
"13281",3481,19092,1990
"13283",5148,18260,1990
"13285",67444,188587,1990
"13287",6567,24177,1990
"13289",7147,26984,1990
"13291",6687,34949,1990
"13293",33309,86253,1990
"13295",87252,250891,1990
"13297",38364,151608,1990
"13299",18749,103782,1990
"13301",6781,17812,1990
"13303",13671,60115,1990
"13305",17069,69742,1990
"13307",1982,6819,1990
"13309",4440,14105,1990
"13311",10935,45469,1990
"13313",128709,277632,1990
"13315",5117,20182,1990
"13317",11161,33550,1990
"13319",6826,33600,1990
"13321",15748,62247,1990
"16NA",169358,1162338,1990
"16001",171840,1155145,1990
"16003",1617,9534,1990
"16005",38635,302190,1990
"16007",2174,15984,1990
"16009",6808,24102,1990
"16011",18942,112396,1990
"16013",2451,59549,1990
"16015",1866,10467,1990
"16017",17067,76596,1990
"16019",31238,318980,1990
"16021",4219,22369,1990
"16023",470,8894,1990
"16025",32,2448,1990
"16027",59633,296758,1990
"16029",3136,20093,1990
"16031",10125,57848,1990
"16033",91,3143,1990
"16035",5549,24953,1990
"16037",993,13747,1990
"16039",3883,56428,1990
"16041",6484,25459,1990
"16043",5396,32388,1990
"16045",7260,35013,1990
"16047",2369,37453,1990
"16049",7585,40472,1990
"16051",5132,48090,1990
"16053",6602,49597,1990
"16055",40592,234267,1990
"16057",7275,108695,1990
"16059",2062,20590,1990
"16061",1993,11419,1990
"16063",1249,11876,1990
"16065",6825,65583,1990
"16067",9132,61224,1990
"16069",25226,122044,1990
"16071",2148,10016,1990
"16073",2345,26393,1990
"16075",9664,51380,1990
"16077",4922,23704,1990
"16079",2532,40407,1990
"16081",550,11777,1990
"16083",27152,186878,1990
"16085",1836,19164,1990
"16087",1885,24191,1990
"30NA",62707,939850,1990
"30001",1188,28261,1990
"30003",750,28923,1990
"30005",469,20765,1990
"30007",1173,10767,1990
"30009",1581,25377,1990
"30011",153,5970,1990
"30013",15196,353023,1990
"30015",503,17763,1990
"30017",1610,41302,1990
"30019",224,7789,1990
"30021",723,33240,1990
"30023",1264,28008,1990
"30025",191,10837,1990
"30027",1865,38974,1990
"30029",29669,189237,1990
"30031",14962,190517,1990
"30033",130,5872,1990
"30035",1511,33900,1990
"30037",101,3225,1990
"30039",1190,7447,1990
"30041",1362,58465,1990
"30043",1319,26730,1990
"30045",134,7766,1990
"30047",6968,68348,1990
"30049",9229,181563,1990
"30051",137,6447,1990
"30053",11928,47227,1990
"30055",63,7692,1990
"30057",800,20426,1990
"30059",395,6397,1990
"30061",2205,10231,1990
"30063",37933,367169,1990
"30065",641,11919,1990
"30067",3744,47365,1990
"30069",126,2031,1990
"30071",524,17359,1990
"30073",1124,20572,1990
"30075",152,7724,1990
"30077",2214,18307,1990
"30079",146,4506,1990
"30081",9294,71090,1990
"30083",2245,34263,1990
"30085",3251,32378,1990
"30087",978,34166,1990
"30089",5021,22963,1990
"30091",195,14247,1990
"30093",6255,125415,1990
"30095",2358,21916,1990
"30097",472,10186,1990
"30099",653,20261,1990
"30101",343,18359,1990
"30103",82,3103,1990
"30105",596,28240,1990
