"fips","less_12","college","total_persons","year"
"05027",22224,14211,84007,1990
"05029",27140,8447,78684,1990
"05031",101787,51436,312735,1990
"05033",86986,19544,243172,1990
"05035",60224,26888,201142,1990
"05037",28808,6543,69254,1990
"05039",10126,3338,31130,1990
"05041",15849,6635,47668,1990
"05043",19538,9548,58657,1990
"05045",73347,51148,274390,1990
"05047",28337,6331,70954,1990
"05049",22863,2780,50722,1990
"05051",104589,54722,367338,1990
"05053",19407,6181,63549,1990
"05055",65415,14560,157905,1990
"05057",26015,8561,74569,1990
"05059",39080,10594,113074,1990
"05061",19392,4940,52672,1990
"05063",53754,15308,145553,1990
"05065",23939,5898,61423,1990
"05067",39457,5657,84818,1990
"05069",94709,53465,347570,1990
"05071",31534,10359,85541,1990
"05073",11048,3077,29634,1990
"05075",40246,5258,86014,1990
"05077",13074,2672,27814,1990
"05079",15483,3180,43693,1990
"05081",17028,4501,52715,1990
"05083",40352,6478,96689,1990
"05085",57855,20100,189378,1990
"05087",21576,4501,53263,1990
"05089",22597,5100,63260,1990
"05091",64361,21466,194025,1990
"05093",69834,23936,194969,1990
"05095",14213,3497,35852,1990
"05097",15309,2744,38367,1990
"05099",11590,4289,34858,1990
"05101",14605,2329,34808,1990
"05103",28239,14602,103002,1990
"05105",14484,2202,36982,1990
"05107",23734,8098,66643,1990
"05109",18067,4078,46920,1990
"05111",55589,6151,111947,1990
"05113",31865,8325,84625,1990
"05115",68018,30650,205198,1990
"05117",17148,3268,41508,1990
"05119",332515,524834,1965083,1990
"05121",36664,6510,80328,1990
"05123",26848,7905,73595,1990
"05125",91693,41207,343706,1990
"05127",22511,2984,48692,1990
"05129",18365,2869,38594,1990
"05131",174032,104007,650199,1990
"05133",23489,4631,59735,1990
"05135",26430,6618,74877,1990
"05137",19858,4421,48842,1990
"05139",44344,27003,169060,1990
"05141",27005,7835,72604,1990
"05143",179895,146756,697590,1990
"05145",90514,27975,244809,1990
"05147",16078,2795,33719,1990
"05149",35330,6268,83675,1990
"06NA",13030679,18340090,69354122,1990
