"fips","in_mig","out_mig","net_mig","year"
"06031",32618,22951,9667,2000
"06033",13444,10736,2708,2000
"06035",11622,7858,3764,2000
"06037",616948,1184219,-567271,2000
"06039",21360,20816,544,2000
"06041",44943,47583,-2640,2000
"06043",4543,4772,-229,2000
"06045",12728,14759,-2031,2000
"06047",31559,33475,-1916,2000
"06049",1804,4542,-2738,2000
"06051",3792,4645,-853,2000
"06053",61463,59000,2463,2000
"06055",21070,21457,-387,2000
"06057",22019,18961,3058,2000
"06059",363701,423387,-59686,2000
"06061",73602,42444,31158,2000
"06063",5196,5515,-319,2000
"06065",309017,228163,80854,2000
"06067",190798,180957,9841,2000
"06069",12264,10817,1447,2000
"06071",301255,303955,-2700,2000
"06073",424318,430426,-6108,2000
"06075",145095,203292,-58197,2000
"06077",86591,77852,8739,2000
"06079",59895,44507,15388,2000
"06081",111679,143637,-31958,2000
"06083",68583,81132,-12549,2000
"06085",201139,306227,-105088,2000
"06087",43945,66345,-22400,2000
"06089",28953,29190,-237,2000
"06091",839,972,-133,2000
"06093",8515,10152,-1637,2000
"06095",80234,70992,9242,2000
"06097",69734,61922,7812,2000
"06099",63405,61801,1604,2000
"06101",14124,17153,-3029,2000
"06103",11830,10108,1722,2000
"06105",2738,5037,-2299,2000
"06107",34413,51250,-16837,2000
"06109",15037,10037,5000,2000
"06111",113985,115133,-1148,2000
"06113",46205,38378,7827,2000
"06115",14451,16414,-1963,2000
"08001",101424,66050,35374,2000
"08003",3686,3992,-306,2000
"08005",145632,123257,22375,2000
"08007",3477,2134,1343,2000
"08009",742,762,-20,2000
"08011",2102,1196,906,2000
"08013",84925,78184,6741,2000
"08015",4592,3588,1004,2000
"08017",402,749,-347,2000
"08019",2923,4131,-1208,2000
"08021",1107,1352,-245,2000
"08023",763,927,-164,2000
"08025",2482,901,1581,2000
"08027",1321,635,686,2000
"08029",6830,6222,608,2000
"08031",136559,183431,-46872,2000
"08033",514,447,67,2000
"08035",81832,28896,52936,2000
"08037",12580,10548,2032,2000
"08039",8501,4708,3793,2000
"08041",135935,131603,4332,2000
"08043",17009,9062,7947,2000
"08045",11921,9948,1973,2000
"08047",2225,932,1293,2000
"08049",4159,3321,838,2000
"08051",4839,4739,100,2000
"08053",238,173,65,2000
"08055",2265,1393,872,2000
"08057",355,586,-231,2000
"08059",129757,121381,8376,2000
"08061",258,522,-264,2000
"08063",1719,1354,365,2000
"08065",1994,1970,24,2000
"08067",12977,10654,2323,2000
"08069",71912,52758,19154,2000
"08071",2981,2083,898,2000
"08073",2272,1678,594,2000
"08075",4606,4061,545,2000
"08077",27145,17993,9152,2000
"08079",278,284,-6,2000
"08081",3474,3402,72,2000
"08083",4827,5030,-203,2000
"08085",8885,6562,2323,2000
"08087",4896,5777,-881,2000
"08089",3037,4252,-1215,2000
"08091",1387,867,520,2000
"08093",6537,4142,2395,2000
"08095",931,1090,-159,2000
"08097",3952,6176,-2224,2000
"08099",2528,2562,-34,2000
"08101",22894,16926,5968,2000
"08103",1456,1683,-227,2000
"08105",2491,2609,-118,2000
"08107",6095,5492,603,2000
"08109",1571,1275,296,2000
"08111",168,238,-70,2000
"08113",2424,2122,302,2000
"08115",564,678,-114,2000
"08117",9355,8599,756,2000
"08119",8265,6198,2067,2000
"08121",913,1644,-731,2000
"08123",47254,32598,14656,2000
"08125",1824,1807,17,2000
"09001",103506,133731,-30225,2000
"09003",87411,110124,-22713,2000
"09005",26604,27676,-1072,2000
"09007",29961,27225,2736,2000
"09009",89885,105645,-15760,2000
"09011",43813,47285,-3472,2000
"09013",31356,25232,6124,2000
"09015",16365,16593,-228,2000
"10001",21141,22079,-938,2000
"10003",69576,62964,6612,2000
"10005",27635,15926,11709,2000
"11001",113029,158360,-45331,2000
"12001",68967,58447,10520,2000
"12003",4964,3681,1283,2000
"12005",30799,35308,-4509,2000
"12007",6517,3919,2598,2000
"12009",94529,71396,23133,2000
"12011",297859,231919,65940,2000
"12013",1922,1899,23,2000
"12015",39989,20710,19279,2000
"12017",32193,16905,15288,2000
"12019",42263,26215,16048,2000
"12021",63964,31864,32100,2000
"12023",13752,8768,4984,2000
"12027",6990,5040,1950,2000
"12029",3346,2424,922,2000
"12031",135697,142493,-6796,2000
"12033",67022,58642,8380,2000
"12035",16641,5975,10666,2000
"12037",2334,1315,1019,2000
"12039",6577,7315,-738,2000
"12041",4065,2453,1612,2000
"12043",3332,1530,1802,2000
"12045",3091,2175,916,2000
"12047",2748,1688,1060,2000
"12049",4159,5053,-894,2000
"12051",6034,7692,-1658,2000
"12053",33800,21899,11901,2000
"12055",19596,14249,5347,2000
"12057",185977,169059,16918,2000
"12059",4228,3277,951,2000
"12061",27408,15731,11677,2000
"12063",8704,7787,917,2000
"12065",2772,2268,504,2000
"12067",1863,1350,513,2000
