"year","fips","labor_force","employed","unemployed","percent_unemployment"
NA,"NANA",NA,NA,NA,NA
"1990","05069",38254,34788,3466,9.1
"1990","05071",8227,7543,684,8.3
"1990","05073",3713,3434,279,7.5
"1990","05075",7789,6948,841,10.8
"1990","05077",4629,4082,547,11.8
"1990","05079",4682,4318,364,7.8
"1990","05081",7186,6857,329,4.6
"1990","05083",9293,8702,591,6.4
"1990","05085",19736,18555,1181,6
"1990","05087",6041,5751,290,4.8
"1990","05089",4938,4595,343,6.9
"1990","05091",17158,16124,1034,6
"1990","05093",24993,22622,2371,9.5
"1990","05095",4466,4123,343,7.7
"1990","05097",3395,3268,127,3.7
"1990","05099",4627,4145,482,10.4
"1990","05101",2986,2746,240,8
"1990","05103",14675,12637,2038,13.9
"1990","05105",3789,3477,312,8.2
"1990","05107",10678,9487,1191,11.2
"1990","05109",4640,4192,448,9.7
"1990","05111",11278,10181,1097,9.7
"1990","05113",7730,7366,364,4.7
"1990","05115",23707,22176,1531,6.5
"1990","05117",4380,4096,284,6.5
"1990","05119",187172,176954,10218,5.5
"1990","05121",7311,6620,691,9.5
"1990","05123",11533,10176,1357,11.8
"1990","05125",33735,31839,1896,5.6
"1990","05127",4745,4417,328,6.9
"1990","05129",3195,2915,280,8.8
"1990","05131",52748,48914,3834,7.3
"1990","05133",6465,6184,281,4.3
"1990","05135",5031,4651,380,7.6
"1990","05137",4376,4069,307,7
"1990","05139",20893,19437,1456,7
"1990","05141",5596,5087,509,9.1
"1990","05143",61413,59077,2336,3.8
"1990","05145",26461,23862,2599,9.8
"1990","05147",4065,3637,428,10.5
"1990","05149",8680,8204,476,5.5
"1990","06001",677363,649906,27457,4.1
"1990","06003",375,339,36,9.6
"1990","06005",11454,10860,594,5.2
"1990","06007",78802,72166,6636,8.4
"1990","06009",13447,12530,917,6.8
"1990","06011",8007,6863,1144,14.3
"1990","06013",435286,417800,17486,4
"1990","06015",9609,8451,1158,12.1
"1990","06017",63836,60985,2851,4.5
"1990","06019",328726,290446,38280,11.6
"1990","06021",11251,9846,1405,12.5
"1990","06023",56261,51806,4455,7.9
"1990","06025",47316,35250,12066,25.5
"1990","06027",7011,6510,501,7.1
"1990","06029",256820,228826,27994,10.9
"1990","06031",37576,33354,4222,11.2
"1990","06033",19974,18201,1773,8.9
"1990","06035",9981,9000,981,9.8
"1990","06037",4498714,4233137,265577,5.9
"1990","06039",41555,35949,5606,13.5
"1990","06041",131883,128558,3325,2.5
"1990","06043",6775,6391,384,5.7
"1990","06045",38746,35789,2957,7.6
"1990","06047",76906,67023,9883,12.9
"1990","06049",3763,3400,363,9.6
"1990","06051",5719,5380,339,5.9
"1990","06053",172728,156047,16681,9.7
"1990","06055",56419,54087,2332,4.1
"1990","06057",36028,34296,1732,4.8
"1990","06059",1352949,1305680,47269,3.5
"1990","06061",89541,85760,3781,4.2
"1990","06063",9470,8530,940,9.9
"1990","06065",536605,498129,38476,7.2
"1990","06067",522264,498324,23940,4.6
"1990","06069",20941,18391,2550,12.2
"1990","06071",635154,599384,35770,5.6
"1990","06073",1215062,1158861,56201,4.6
"1990","06075",409356,393929,15427,3.8
"1990","06077",227060,204547,22513,9.9
"1990","06079",99766,95144,4622,4.6
"1990","06081",370206,360492,9714,2.6
"1990","06083",192547,183121,9426,4.9
"1990","06085",852348,818551,33797,4
"1990","06087",135694,125920,9774,7.2
"1990","06089",67692,61850,5842,8.6
"1990","06091",1628,1451,177,10.9
"1990","06093",19437,17066,2371,12.2
"1990","06095",164884,156976,7908,4.8
"1990","06097",206269,198268,8001,3.9
"1990","06099",180443,159054,21389,11.9
"1990","06101",33135,28457,4678,14.1
"1990","06103",19924,17930,1994,10
"1990","06105",5344,4677,667,12.5
"1990","06107",145783,127785,17998,12.3
"1990","06109",19871,18532,1339,6.7
"1990","06111",366564,345433,21131,5.8
"1990","06113",74016,68936,5080,6.9
"1990","06115",22146,19785,2361,10.7
"1990","08001",140544,132385,8159,5.8
"1990","08003",6736,6243,493,7.3
"1990","08005",224903,216329,8574,3.8
"1990","08007",2681,2542,139,5.2
"1990","08009",2024,1985,39,1.9
"1990","08011",2072,2002,70,3.4
"1990","08013",124316,118199,6117,4.9
"1990","08014",14229,13705,524,3.7
"1990","08015",5838,5436,402,6.9
"1990","08017",1177,1162,15,1.3
"1990","08019",4436,4258,178,4
"1990","08021",3120,2747,373,12
"1990","08023",1409,1258,151,10.7
"1990","08025",1140,1094,46,4
"1990","08027",892,851,41,4.6
"1990","08029",8534,7929,605,7.1
"1990","08031",252157,237926,14231,5.6
"1990","08033",668,636,32,4.8
"1990","08035",35396,34277,1119,3.2
"1990","08037",12519,12065,454,3.6
"1990","08039",5509,5285,224,4.1
"1990","08041",190940,177214,13726,7.2
"1990","08043",12933,12089,844,6.5
"1990","08045",16707,16016,691,4.1
"1990","08047",2391,2332,59,2.5
"1990","08049",4317,4182,135,3.1
"1990","08051",6007,5562,445,7.4
"1990","08053",404,394,10,2.5
"1990","08055",2532,2327,205,8.1
"1990","08057",886,860,26,2.9
"1990","08059",255424,245533,9891,3.9
"1990","08061",798,777,21,2.6
"1990","08063",3320,3279,41,1.2
"1990","08065",2826,2651,175,6.2
"1990","08067",17396,16358,1038,6
"1990","08069",103854,98713,5141,5
"1990","08071",5508,5050,458,8.3
"1990","08073",2212,2152,60,2.7
"1990","08075",8765,8456,309,3.5
"1990","08077",44712,42012,2700,6
"1990","08079",299,278,21,7
"1990","08081",5930,5589,341,5.8
"1990","08083",9239,8554,685,7.4
"1990","08085",11664,10916,748,6.4
"1990","08087",10313,9845,468,4.5
"1990","08089",8468,7857,611,7.2
"1990","08091",1234,1112,122,9.9
"1990","08093",4529,4356,173,3.8
"1990","08095",1836,1808,28,1.5
"1990","08097",8125,7688,437,5.4
"1990","08099",6159,5816,343,5.6
"1990","08101",52373,48542,3831,7.3
"1990","08103",3175,3039,136,4.3
"1990","08105",5025,4518,507,10.1
"1990","08107",8244,7892,352,4.3
"1990","08109",2259,1986,273,12.1
"1990","08111",465,428,37,8
"1990","08113",2449,2323,126,5.1
"1990","08115",1276,1253,23,1.8
"1990","08117",8110,7812,298,3.7
"1990","08119",7476,7134,342,4.6
"1990","08121",2209,2164,45,2
"1990","08123",66589,62720,3869,5.8
"1990","08125",4011,3924,87,2.2
"1990","09001",462016,440284,21732,4.7
"1990","09003",470096,445877,24219,5.2
"1990","09005",102033,97195,4838,4.7
"1990","09007",83647,80219,3428,4.1
"1990","09009",440366,415798,24568,5.6
"1990","09011",131330,123815,7515,5.7
"1990","09013",74678,71674,3004,4
"1990","09015",55602,51615,3987,7.2
"1990","10001",58471,55767,2704,4.6
"1990","10003",239994,227780,12214,5.1
"1990","10005",61759,59653,2106,3.4
"1990","11001",328924,308281,20643,6.3
"1990","12001",94191,90789,3402,3.6
"1990","12003",8076,7485,591,7.3
"1990","12005",61479,55866,5613,9.1
"1990","12007",9264,8844,420,4.5
"1990","12009",205653,194451,11202,5.4
"1990","12011",668642,629862,38780,5.8
"1990","12013",4497,4168,329,7.3
"1990","12015",41739,39731,2008,4.8
"1990","12017",33176,30451,2725,8.2
"1990","12019",54151,51788,2363,4.4
"1990","12021",73480,69442,4038,5.5
"1990","12023",20309,18565,1744,8.6
"1990","12027",9746,9044,702,7.2
"1990","12029",3802,3518,284,7.5
"1990","12031",353287,334446,18841,5.3
"1990","12033",121742,114649,7093,5.8
"1990","12035",11820,11076,744,6.3
"1990","12037",3887,3675,212,5.5
"1990","12039",18119,17204,915,5
"1990","12041",4034,3718,316,7.8
"1990","12043",3237,2893,344,10.6
"1990","12045",5316,4962,354,6.7
"1990","12047",4206,3869,337,8
"1990","12049",9272,8179,1093,11.8
"1990","12051",12971,11242,1729,13.3
"1990","12053",36327,33655,2672,7.4
"1990","12055",25951,23615,2336,9
"1990","12057",456029,433823,22206,4.9
"1990","12059",6774,6304,470,6.9
"1990","12061",41314,36566,4748,11.5
"1990","12063",18820,17699,1121,6
"1990","12065",5299,5074,225,4.2
"1990","12067",2334,2198,136,5.8
"1990","12069",66829,61369,5460,8.2
"1990","12071",155371,149321,6050,3.9
"1990","12073",113420,109740,3680,3.2
"1990","12075",10693,10097,596,5.6
"1990","12077",2216,2128,88,4
"1990","12079",7065,6439,626,8.9
"1990","12081",95658,91843,3815,4
"1990","12083",83776,78711,5065,6
"1990","12085",45647,42205,3442,7.5
"1990","12086",979215,906577,72638,7.4
"1990","12087",41050,39954,1096,2.7
"1990","12089",22762,21443,1319,5.8
"1990","12091",66194,62283,3911,5.9
"1990","12093",13774,12624,1150,8.3
"1990","12095",393649,371771,21878,5.6
"1990","12097",59082,56163,2919,4.9
"1990","12099",434048,402576,31472,7.3
"1990","12101",109699,102820,6879,6.3
"1990","12103",422736,402986,19750,4.7
"1990","12105",202034,181476,20558,10.2
"1990","12107",26315,24649,1666,6.3
"1990","12109",44284,41996,2288,5.2
"1990","12111",72527,63089,9438,13
"1990","12113",39199,37037,2162,5.5
"1990","12115",124304,119626,4678,3.8
"1990","12117",169768,160689,9079,5.3
"1990","12119",12298,11336,962,7.8
"1990","12121",12065,11108,957,7.9
"1990","12123",8314,7312,1002,12.1
"1990","12125",3755,3564,191,5.1
"1990","12127",169196,160418,8778,5.2
"1990","12129",7868,7564,304,3.9
"1990","12131",12984,12149,835,6.4
"1990","12133",7439,6924,515,6.9
"1990","13001",7465,6567,898,12
"1990","13003",2755,2548,207,7.5
"1990","13005",4395,4134,261,5.9
"1990","13007",1575,1493,82,5.2
"1990","13009",16772,16071,701,4.2
"1990","13011",5564,5267,297,5.3
"1990","13013",15209,14033,1176,7.7
"1990","13015",29766,27601,2165,7.3
"1990","13017",7207,6752,455,6.3
"1990","13019",6929,6423,506,7.3
"1990","13021",69366,65841,3525,5.1
"1990","13023",4889,4605,284,5.8
"1990","13025",4782,4375,407,8.5
"1990","13027",6377,6140,237,3.7
"1990","13029",7088,6773,315,4.4
"1990","13031",19580,18549,1031,5.3
"1990","13033",8649,7711,938,10.8
"1990","13035",6456,6020,436,6.8
"1990","13037",2083,1967,116,5.6
"1990","13039",11549,10932,617,5.3
"1990","13043",3485,3310,175,5
"1990","13045",36659,34401,2258,6.2
"1990","13047",21247,20272,975,4.6
"1990","13049",3536,3364,172,4.9
