"fips","year","new_total_mds"
"12053",2015,237
"12055",2015,168
"12057",2015,4598
"12059",2015,11
"12061",2015,351
"12063",2015,43
"12065",2015,7
"12067",2015,1
"12069",2015,605
"12071",2015,1300
"12073",2015,784
"12075",2015,13
"12077",2015,0
"12079",2015,2
"12081",2015,636
"12083",2015,577
"12085",2015,375
"12086",2015,8848
"12087",2015,145
"12089",2015,89
"12091",2015,446
"12093",2015,39
"12095",2015,3773
"12097",2015,356
"12099",2015,3985
"12101",2015,684
"12103",2015,2599
"12105",2015,846
"12107",2015,66
"12109",2015,697
"12111",2015,332
"12113",2015,325
"12115",2015,1172
"12117",2015,848
"12119",2015,89
"12121",2015,13
"12123",2015,12
"12125",2015,8
"12127",2015,968
"12129",2015,13
"12131",2015,83
"12133",2015,12
"13001",2015,13
"13003",2015,0
"13005",2015,7
"13007",2015,0
"13009",2015,70
"13011",2015,4
"13013",2015,43
"13015",2015,101
"13017",2015,12
"13019",2015,6
"13021",2015,774
"13023",2015,7
"13025",2015,2
"13027",2015,4
"13029",2015,58
"13031",2015,105
"13033",2015,12
"13035",2015,7
"13037",2015,1
"13039",2015,36
"13043",2015,4
"13045",2015,185
"13047",2015,65
"13049",2015,5
"13051",2015,1008
"13053",2015,15
"13055",2015,2
"13057",2015,190
"13059",2015,340
"13061",2015,1
"13063",2015,244
"13065",2015,1
"13067",2015,1663
"13069",2015,59
"13071",2015,52
"13073",2015,617
"13075",2015,9
"13077",2015,160
"13079",2015,3
"13081",2015,31
"13083",2015,6
"13085",2015,21
"13087",2015,30
"13089",2015,3910
"13091",2015,21
"13093",2015,6
"13095",2015,247
"13097",2015,130
"13099",2015,7
"13101",2015,0
"13103",2015,21
"13105",2015,9
"13107",2015,14
"13109",2015,6
"13111",2015,26
"13113",2015,329
"13115",2015,319
"13117",2015,197
"13119",2015,11
"13121",2015,5045
"13123",2015,23
"13125",2015,1
"13127",2015,209
"13129",2015,54
"13131",2015,13
"13133",2015,22
"13135",2015,1430
"13137",2015,37
"13139",2015,364
"13141",2015,2
"13143",2015,15
"13145",2015,36
"13147",2015,13
"13149",2015,4
"13151",2015,287
"13153",2015,177
"13155",2015,5
"13157",2015,97
"13159",2015,8
"13161",2015,6
"13163",2015,9
"13165",2015,4
"13167",2015,6
"13169",2015,11
"13171",2015,9
"13173",2015,2
"13175",2015,101
"13177",2015,41
"13179",2015,46
"13181",2015,2
"13183",2015,0
"13185",2015,186
"13187",2015,24
"13189",2015,17
"13191",2015,2
"13193",2015,2
"13195",2015,8
"13197",2015,2
"13199",2015,9
"13201",2015,5
"13205",2015,13
"13207",2015,31
"13209",2015,1
"13211",2015,14
"13213",2015,8
"13215",2015,564
"13217",2015,72
"13219",2015,148
"13221",2015,4
"13223",2015,35
"13225",2015,10
"13227",2015,29
"13229",2015,16
"13231",2015,4
"13233",2015,14
"13235",2015,12
"13237",2015,11
"13239",2015,0
"13241",2015,17
"13243",2015,2
"13245",2015,1214
"13247",2015,132
"13249",2015,0
"13251",2015,2
"13253",2015,15
"13255",2015,75
"13257",2015,34
"13259",2015,3
"13261",2015,43
"13263",2015,0
"13265",2015,0
"13267",2015,9
"13269",2015,0
"13271",2015,7
"13273",2015,2
"13275",2015,148
"13277",2015,112
"13279",2015,56
"13281",2015,14
"13283",2015,0
"13285",2015,111
"13287",2015,4
"13289",2015,0
"13291",2015,34
"13293",2015,34
"13295",2015,23
"13297",2015,79
"13299",2015,76
"13301",2015,2
"13303",2015,19
"13305",2015,24
"13307",2015,0
"13309",2015,0
"13311",2015,9
"13313",2015,157
"13315",2015,0
"13317",2015,6
"13319",2015,2
"13321",2015,8
"15001",2015,353
"15003",2015,3305
"15005",2015,0
"15007",2015,136
"15009",2015,338
"16001",2015,1251
"16003",2015,2
"16005",2015,167
"16007",2015,8
"16009",2015,11
"16011",2015,32
"16013",2015,68
"16015",2015,2
"16017",2015,69
"16019",2015,177
"16021",2015,9
"16023",2015,2
"16025",2015,0
"16027",2015,152
"16029",2015,4
