merged_fips,fips
51019,51019
51515,51019
51560,51005
51005,51005
2280,2195
2195,2195
2130,2195
2275,2195
2201,2195
2198,2195
46113,46102
46102,46102
2231,2232
2232,2232
2282,2232
2230,2232
2105,2232
2270,2158
2158,2158
2021,2010
2013,2010
2016,2010
2068,2240
2240,2240
2290,2240
2164,2070
2070,2070
2188,2140
2140,2140
4012,4027
4027,4027
8014,8059
8001,8059
8013,8059
8059,8059
8123,8059
51780,51083
51083,51083
12025,12086
12086,12086
30113,30031
30031,30031
30067,30031
